title,outcome
Will semiconductor export controls be expanded this quarter?,Yes
Will the Mars sample return mission launch on schedule?,No
Will Company Nexora report earnings above analyst estimates?,Yes
Will the proposed carbon tax legislation pass committee vote?,No
Will Team Orion win the championship series?,Yes
Will the volcanic eruption cause damages exceeding $1B?,Yes
Will the bilateral trade agreement be signed before the deadline?,No
Will the clinical trial for drug XR-7 report positive Phase III results?,Yes
Will unemployment rise above 5% this quarter?,No
Will the orbital station module be successfully deployed on first attempt?,No
Will the central bank announce quantitative tightening measures?,Yes
Will the underdog candidate win the municipal election?,Yes
Will the autonomous vehicle fleet receive regulatory approval?,Yes
Will Arctic ice extent reach a new record minimum this summer?,No
Will the cryptocurrency regulatory framework be enacted before year-end?,No
