name,version,author,license,category,description,homepage,status,tags,first_release,last_update
requests,2.31.0,Kenneth Reitz <me@kennethreitz.org>,Apache-2.0,Networking,Python HTTP library for humans - elegant and simple,https://requests.readthedocs.io,stable,"http,web,networking","Feb 14, 2011","May 22, 2023 14:30"
flask,3.0.0,Armin Ronacher <armin@ronacher.io>,BSD-3-Clause,Web Frameworks,A lightweight WSGI web application framework for building APIs and web apps,https://flask.palletsprojects.com,stable,"web,framework,wsgi",04/01/2010,"Sep 30, 2023 09:15"
numpy,1.26.2,Travis Oliphant <travis@continuum.io>,BSD-3-Clause,Scientific Computing,Fundamental package for scientific computing with multi-dimensional arrays,https://numpy.org,stable,"math,science,arrays,numerical",2006-03-20,"Nov 12, 2023 18:45"
django,5.0,Adrian Holovaty <adrian@holovaty.com>,BSD-3-Clause,Web Frameworks,The web framework for perfectionists with deadlines - batteries included,https://djangoproject.com,stable,"web,framework,orm,templates","Jul 21, 2005","Dec 04, 2023 11:00"
pandas,2.1.4,Wes McKinney <wes@datapad.io>,BSD-3-Clause,Data Science,Powerful data structures for data analysis and manipulation,https://pandas.pydata.org,stable,"data,analysis,dataframe,csv",01/11/2009,"Dec 08, 2023 16:20"
sqlalchemy,2.0.23,Mike Bayer <mike_mp@zzzcomputing.com>,MIT,Database,The Python SQL toolkit and Object Relational Mapper for database access,https://www.sqlalchemy.org,stable,"database,sql,orm",2006-02-14,"Nov 02, 2023 08:30"
celery,5.3.6,Ask Solem <ask@celeryproject.org>,BSD-3-Clause,Task Processing,Distributed task queue for processing vast amounts of messages,https://docs.celeryq.dev,stable,"task-queue,distributed,async",2009-04-24,"Nov 21, 2023 13:45"
pytest,7.4.3,Holger Krekel <holger@merlinux.eu>,MIT,Testing,Simple powerful testing framework with fixtures and parametrize support,https://pytest.org,stable,"testing,unittest,fixtures",2007-10-10,"Oct 24, 2023 10:00"
scrapy,2.11.0,Pablo Hoffman <pablo@scrapinghub.com>,BSD-3-Clause,Web Scraping,A fast high-level web crawling and web scraping framework,https://scrapy.org,stable,"scraping,crawler,web,spider","Jun 26, 2008","Oct 18, 2023 15:30"
fastapi,0.104.1,Sebastian Ramirez <tiangolo@gmail.com>,MIT,Web Frameworks,Modern fast web framework for building APIs with automatic OpenAPI docs,https://fastapi.tiangolo.com,stable,"web,api,async,openapi",12/05/2018,"Nov 15, 2023 20:10"
boto3,1.34.0,Amazon Web Services <aws-sdk-python@amazon.com>,Apache-2.0,Cloud,AWS SDK for Python providing interfaces to Amazon cloud services,https://boto3.amazonaws.com,stable,"aws,cloud,s3,ec2",2015-06-22,"Dec 08, 2023 22:00"
pillow,10.1.0,Jeffrey Clark <jeffrey@activestacks.com>,HPND,Image Processing,Python Imaging Library fork for opening manipulating and saving image files,https://python-pillow.org,stable,"image,graphics,pil",07/31/2010,"Oct 15, 2023 12:00"
click,8.1.7,"Armin  Ronacher <armin@ronacher.io>",BSD-3-Clause,CLI,Composable command line interface toolkit for creating CLI applications,https://click.palletsprojects.com,stable,"cli,terminal,commands",2014-08-12,"Aug 17, 2023 09:30"
rich,13.7.0,Will McGugan <willmcgugan@gmail.com>,MIT,CLI,Rich text and beautiful formatting in the terminal with syntax highlighting,https://rich.readthedocs.io,stable,"terminal,formatting,console,color",2019-11-15,"Nov 30, 2023 17:00"
httpx,0.25.2,Tom Christie <tom@tomchristie.com>,BSD-3-Clause,Networking,A next generation HTTP client for Python with async support,https://www.python-httpx.org,stable,"http,async,web,networking",2019-10-08,"Nov 22, 2023 14:15"
