slug,family,task_verdict,observed_direction,potential_direction,primary_mechanism,release_classes,defect_classes,confidence,gameable,correct_solution_blocked,tests_verify_instruction,stub_would_pass,n_runs,n_pass,n_blocked_runs,n_undeserved_passes,refute_confirms,refute_refutes,refute_unanimous,headline
v2--bigtiff-ometiff-writer,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;canonical_output_overfit,unstated_convention;reference_canonical_form,high,False,True,mostly,no,0,0,4,0,4,0,True,Hidden SHA-256 DNA checks pin the compressed byte counts of one specific LZW table-full/CLEAR-timing policy the instruction never states; 4 of 14 rollouts shipped fully valid BigTIFFs that imagecodecs 2024.9.22 decodes bit-exactly — including the exact policy imagecodecs' own LZW encoder uses — and still scored 0.0.
v2--ccda-validation-engine,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;canonical_output_overfit,unstated_convention;reference_canonical_form,high,False,True,mostly,no,0,0,13,0,3,0,True,One hardcoded assertion (unique_valueset_oid_count == 97) encodes a reference-implementation bug — counting a comma-joined <allowedValuesetOids> text node as a single OID — and zeroes 13 otherwise-complete solutions under all-or-nothing grading; 15/15 rollouts computed 96.
v2--dagster-concurrent-pipeline,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;overstrict_or_brittle_grader;leaky_or_underconstrained_grader,unstated_convention;single_path_enforced;weak_tests,high,True,True,partially,no,0,0,9,0,3,0,True,"All 14 rollouts diagnosed and fixed all five stated bugs; pass/fail is decided entirely by which of several equally-valid Dagster spellings the agent picked (run_coordinator vs run_queue in dagster.yaml, unconditional context.run_id vs upstream_output inside _get_path, run_key vs cursor dedup) — none of which the instruction states or the container reveals."
v2--firmware-memory-coherence,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;canonical_output_overfit,unstated_convention;reference_canonical_form,high,False,True,mostly,no,0,0,15,0,4,0,True,"Tests hard-code the reference implementation's private JSON item schema (region1/region2, end, type, unpadded hex()) that the instruction never states; a 2-line logic-free rename drops the reference from 27/27 to 0.0, and all 15 rollouts made exactly such a rename."
v2--fst-transducer-engine,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement,unstated_convention,high,False,True,mostly,no,0,0,1,0,3,0,True,"The graph_stats cross-check resolves ""the union FST"" by grabbing the first /app/fsts entry whose name merely contains ""union"", so a solver that obeys the instruction to put intermediate FSTs there under descriptive names (union_abc.fst, ...) gets an arbitrary partial automaton dotted and fails despite byte-identical, fully correct deliverables."
v2--hls-pragma-repair,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;overstrict_or_brittle_grader,unstated_convention;single_path_enforced,high,True,True,mostly,no,0,0,12,0,4,0,True,"A hidden `--help` must-exit-0 assertion, absent from the instruction and from every file in the container, zeroes 12 of 13 otherwise-complete solutions under all-or-nothing scoring."
v2--renode-firmware-pipeline,v2,confirmed_defect,false_negative,none,,unrecoverable_or_hidden_target;specification_ambiguity_or_unstated_requirement;overstrict_or_brittle_grader,impossible_or_contradictory;unstated_convention;single_path_enforced,high,True,True,poorly,no,0,0,11,0,3,1,False,"Verifier demands a factually wrong `usart2`->`uart2` rename (a regression Renode itself reversed in v1.13.0 and upstream reversed in 2022) that blocks 15/15 rollouts, plus an unstated 64K RAM constant contradicting the RM0090 reference the instruction cites."
v2--stig-layered-remediation,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;canonical_output_overfit;unrecoverable_or_hidden_target;broken_harness_or_environment,unstated_convention;reference_canonical_form;impossible_or_contradictory;broken_harness_or_env,high,True,True,partially,no,0,0,9,0,2,1,False,"All 15 rollouts completed every objectively-checkable remediation, then were zeroed by 28 exact-match assertions on a subjective status/severity table that the shipped rubric does not determine and the reference solution simply hardcodes."
v2--task-008732,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;unrecoverable_or_hidden_target;canonical_output_overfit;leaky_or_underconstrained_grader,unstated_convention;impossible_or_contradictory;reference_canonical_form;weak_tests,high,True,True,partially,no,0,0,13,0,3,0,True,"Verifier's five-name wrapper whitelist bans `loop-mssa` — the only legal nesting for `licm`, which available_passes.txt advertises — and its `\b`-anchored remove/swap regexes corrupt `aggressive-instcombine`; together these zeroed 14/15 rollouts that met every stated constraint."
v2--task-179d5d,v2,confirmed_defect,false_negative,none,,broken_harness_or_environment;flaky_or_nondeterministic,broken_harness_or_env;flaky_nondeterministic,high,False,True,mostly,no,0,0,1,0,2,1,False,"Rollouts are not isolated: concurrent runs share one OpenBao on 127.0.0.1:8200, and r14 deleted+recreated app-data out from under r13's finished, correct work, turning it into a 0.0."
v2--task-a162aa,v2,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;overstrict_or_brittle_grader,unstated_convention;single_path_enforced,high,False,True,mostly,no,0,0,1,0,3,0,True,"The sole failing rollout put `#include <time.h>` in src/timing.h instead of src/timing.c — a functionally identical fix that produced a clean build and a correct .deb — but the verifier text-greps /app/src/timing.c specifically, so an otherwise complete solution scored 0.0."
v3--migration-audit-engine,v3,confirmed_defect,false_negative,none,,specification_ambiguity_or_unstated_requirement;canonical_output_overfit,unstated_convention;reference_canonical_form,high,True,True,mostly,no,0,0,6,0,4,0,True,"One hidden assertion pins the anomalies-array emission order (out-of-order before checksum for staging V5); the instruction lists the rules in the opposite order, so six spec-faithful, fully-correct implementations score 0.0 and the two passers differ only by array position."
v2--affine-transform-toolkit,v2,confirmed_defect,false_negative,none,broken_harness_or_environment,broken_harness_or_environment;flaky_or_nondeterministic;specification_ambiguity_or_unstated_requirement,broken_harness_or_env;flaky_nondeterministic;unstated_convention,high,False,True,mostly,no,15,14,1,0,3,0,True,"The task is well-specified and strongly graded in 14/15 containers, but r01 was provisioned with a stale image whose /app/affine_toolkit.py had no register_affine_landmarks/chain_resample stubs and whose SPEC.md (109 lines vs 158) documented neither function, making the API the verifier pins undiscoverable — its correct five-bug fix scored 0."
