date,product_id,region,quantity,unit_price,salesperson_id
2024-01-05,P001,North,10,49.99,E001
01/12/2024,P003,south,5,$89.99,E002
2024-01-18,P005,East,20,29.99,E003
1/25/2024,P007,west,15,19.99,E004
2024-02-03,P002,Central,8,$59.99,E005
02/10/2024,P009,NORTH,3,149.99,E001
2024-02-17,P004,South,12,39.99,E002
2/24/2024,P006,east,7,$44.99,E003
2024-03-02,P008,West,25,24.99,E004
03/09/2024,P010,central,6,79.99,E005
2024-03-15,P001,North,18,$49.99,E001
3/22/2024,P003,SOUTH,4,89.99,E002
2024-04-01,P002,East,9,59.99,E003
04/08/2024,P005,west,30,29.99,E004
2024-04-15,P007,Central,22,$19.99,E005
4/22/2024,P009,NORTH,2,149.99,E001
2024-04-29,P004,South,14,$39.99,E002
05/06/2024,P006,east,11,44.99,E003
2024-05-13,P008,West,8,24.99,E004
5/20/2024,P010,central,5,$79.99,E005
2024-05-27,P001,South,7,49.99,E002
06/03/2024,P003,EAST,6,89.99,E003
2024-06-10,P002,North,15,$59.99,E001
6/17/2024,P005,west,18,29.99,E004
2024-06-24,P007,Central,10,19.99,E005
07/01/2024,P009,south,4,$149.99,E002
2024-07-08,P004,East,16,39.99,E003
7/15/2024,P006,NORTH,9,44.99,E001
2024-07-22,P008,West,20,$24.99,E004
07/29/2024,P010,central,3,79.99,E005
2024-08-05,P001,East,12,49.99,E003
8/12/2024,P003,NORTH,8,$89.99,E001
2024-08-19,P002,South,11,59.99,E002
08/26/2024,P005,central,25,29.99,E005
2024-09-02,P007,West,14,$19.99,E004
9/09/2024,P009,east,5,149.99,E003
2024-09-16,P004,North,19,39.99,E001
09/23/2024,P006,SOUTH,13,$44.99,E002
2024-09-30,P008,Central,17,24.99,E005
10/07/2024,P010,west,7,79.99,E004
2024-10-14,P001,Central,9,$49.99,E005
10/21/2024,P003,WEST,3,89.99,E004
2024-10-28,P002,North,20,59.99,E001
11/04/2024,P005,south,16,$29.99,E002
2024-11-11,P007,East,28,19.99,E003
11/18/2024,P009,central,6,149.99,E005
2024-11-25,P004,West,10,$39.99,E004
12/02/2024,P006,NORTH,14,44.99,E001
2024-12-09,P008,East,22,24.99,E003
12/16/2024,P010,south,9,$79.99,E002
