kal	stone
toran	mountain
suluk	river
bako	tree
kunap	road
dova	house
murat	sun
gardu	bear
tablak	field
polum	village
gel	lake
tirem	cloud
selik	bird
biret	wind
kimen	star
vedi	fire
nesir	fish
tepil	flower
mirke	wolf
deliz	sea
kallar	stone.PL
toranlar	mountain.PL
suluklar	river.PL
bakolar	tree.PL
dovalar	house.PL
muratlar	sun.PL
geller	lake.PL
tiremler	cloud.PL
selikler	bird.PL
kimenler	star.PL
nesirler	fish.PL
delizler	sea.PL
kalu	stone.ACC
sulugu	river.ACC
bakonu	tree.ACC
geli	lake.ACC
seligi	bird.ACC
vedini	fire.ACC
toranun	mountain.GEN
kunabun	road.GEN
dovanun	house.GEN
tiremin	cloud.GEN
biredin	wind.GEN
mirkenin	wolf.GEN
kala	stone.DAT
murada	sun.DAT
garduya	bear.DAT
kimene	star.DAT
nesire	fish.DAT
delize	sea.DAT
sulukta	river.LOC
kunapta	road.LOC
toranda	mountain.LOC
polumda	village.LOC
dovada	house.LOC
gelde	lake.LOC
birette	wind.LOC
tepilde	flower.LOC
tablaktan	field.ABL
bakodan	tree.ABL
gardudan	bear.ABL
selikten	bird.ABL
vediden	fire.ABL
tiremden	cloud.ABL
kalum	stone.1SG
sulugum	river.1SG
dovam	house.1SG
gelim	lake.1SG
biredim	wind.1SG
mirkem	wolf.1SG
toranun	mountain.2SG
muradun	sun.2SG
bakon	tree.2SG
kimenin	star.2SG
kunabu	road.3SG
gardusu	bear.3SG
seligi	bird.3SG
vedisi	fire.3SG
tablagumuz	field.1PL
polumumuz	village.1PL
nesirimiz	fish.1PL
delizimiz	sea.1PL
sulugunuz	river.2PL
tireminiz	cloud.2PL
tepiliniz	flower.2PL
kallaru	stone.3PL
muratlaru	sun.3PL
gelleri	lake.3PL
vedileri	fire.3PL
kallaru	stone.PL.ACC
suluklarda	river.PL.LOC
dovalara	house.PL.DAT
gellerin	lake.PL.GEN
seliklerden	bird.PL.ABL
kimenleri	star.PL.ACC
toranlarda	mountain.PL.LOC
gardulara	bear.PL.DAT
kalumu	stone.1SG.ACC
suluguma	river.1SG.DAT
dovasuda	house.3SG.LOC
gelinden	lake.2SG.ABL
biredinin	wind.3SG.GEN
bakomuzda	tree.1PL.LOC
vedinizi	fire.2PL.ACC
tablagumun	field.1SG.GEN
muratlaruya	sun.3PL.DAT
seligimden	bird.1SG.ABL
mirkene	wolf.2SG.DAT
polumunu	village.3SG.ACC
kallarum	stone.PL.1SG
suluklaru	river.PL.3SG
gellerim	lake.PL.1SG
dovalarun	house.PL.2SG
biretlerleri	wind.PL.3PL
gardularumuz	bear.PL.1PL
kallarumu	stone.PL.1SG.ACC
suluklaruya	river.PL.3SG.DAT
dovalarumuzda	house.PL.1PL.LOC
gellerinin	lake.PL.2SG.GEN
seliklerleriden	bird.PL.3PL.ABL
toranlarumda	mountain.PL.1SG.LOC
vedilerini	fire.PL.3SG.ACC
tablaklarunuza	field.PL.2PL.DAT
muratlarumdan	sun.PL.1SG.ABL
delizlerinin	sea.PL.3SG.GEN
